商品,大类,二级类
100g*5瓶益力多,饮料,乳制品
100g越南LIPO奶味面包干,非饮料,饼干糕点
10g卫龙亲嘴烧香辣味,非饮料,肉干/豆制品/蛋
10g越南LIPO奶味面包干,非饮料,饼干糕点
110g顺宝九制话梅,非饮料,蜜饯/果干
120g达利园蔓越莓提子面包,非饮料,饼干糕点
12g劲仔小鱼（香辣味）,非饮料,肉干/豆制品/蛋
12g劲仔小鱼麻辣味,非饮料,肉干/豆制品/蛋
13g无穷烤鸡小腿蜂蜜味,非饮料,肉干/豆制品/蛋
145ml旺仔牛奶罐装,饮料,乳制品
145ml旺仔牛奶盒装,饮料,乳制品
148g富甲一方紫薯仔,非饮料,蜜饯/果干
150g健能酸奶原味,饮料,乳制品
150g贤哥手撕牛排味,非饮料,肉干/豆制品/蛋
160g盼盼手撕面包,非饮料,饼干糕点
182g徐福记凤梨酥,非饮料,饼干糕点
200g喜之郎/什锦果肉,非饮料,果冻/龟苓膏
20g咪咪虾条马来西亚风味,非饮料,膨化食品
20g咩咩世界虾味条,非饮料,膨化食品
20g洽洽每日坚果,非饮料,坚果炒货
20g士力架,非饮料,糖果/巧克力
220g宝丰龙龟苓膏,非饮料,果冻/龟苓膏
225g味之不规则饼干芝士味,非饮料,饼干糕点
250ML东鹏特饮,饮料,功能饮料
250ml红牛,饮料,功能饮料
250ml维他奶巧克力味,饮料,植物蛋白
250ml维他柠檬茶,饮料,茶饮料
250ml维他原味豆奶,饮料,植物蛋白
250ml燕塘红枣牛奶,饮料,乳制品
250ml燕塘甜牛奶,饮料,乳制品
250ml燕塘原味酸奶,饮料,乳制品
268ml雀巢咖啡丝滑拿铁,饮料,咖啡
2g韩国海牌海苔,非饮料,海味零食
30g无穷农场盐_鸡蛋,非饮料,肉干/豆制品/蛋
32g卫龙亲嘴烧红烧牛肉味,非饮料,肉干/豆制品/蛋
330ml伊利畅意乳酸菌原味,饮料,乳制品
340ml蒙牛优益C乳酸菌,饮料,乳制品
40g盼盼手撕面包,非饮料,饼干糕点
40g上好佳日式鱼果,非饮料,膨化食品
40g上好佳田园薯片,非饮料,膨化食品
40g上好佳田园薯片番茄味,非饮料,膨化食品
40g双汇玉米热狗肠,非饮料,肉干/豆制品/蛋
40g卫龙点心面黑椒牛排味,非饮料,肉干/豆制品/蛋
430g泰奇八宝粥,非饮料,方便速食
450ml美汁源果粒橙,饮料,果蔬饮料
480ml小茗同学冷泡溜溜哒茶,饮料,茶饮料
480ml小茗同学冷泡青柠红茶,饮料,茶饮料
500ML宝矿力,饮料,功能饮料
500ml加多宝,饮料,茶饮料
500ml农夫果园 (芒果+菠萝+番石榴),饮料,果蔬饮料
500ml统一阿萨姆奶茶,饮料,茶饮料
50g马赛克手撕鱿鱼条,非饮料,海味零食
50g上好佳田园薯片番茄味,非饮料,膨化食品
55g奥利奥原味芝士饼干,非饮料,饼干糕点
56g益达无糖口香糖,非饮料,糖果/巧克力
58g丽芝士纳宝帝奶酪威化饼干,非饮料,饼干糕点
600ml可口可乐,饮料,碳酸饮料
600ml脉动青柠,饮料,功能饮料
600ml雪碧,饮料,碳酸饮料
60g湖湘贡手撕鸭脖原味,非饮料,肉干/豆制品/蛋
60g溜溜九制梅,非饮料,蜜饯/果干
